country,type,paid,needs_registration,governmental,agency,url,notes,
Slovenia,Regulatory Agency,f,f,t,Ministry of Finance,http://seznami.gov.si/DURS/main_neplacniki.html,Periodically published data on companies that owe tax.,
Slovenia,Intellectual Property,f,f,t,Slovenian Intellectual Property Office (SIPO)  Ministry of Economic Development and Technology,http://www.uil-sipo.si/,,
Slovenia,Business Registry,f,f,t,Ljubljana Stock Exchange,http://www.ljse.si/cgi-bin/jve.cgi?doc=7026,Available: search by company name with basic company information,
Slovenia,Business Registry,f,t,t,AJPES,http://www.ajpes.si/Default.asp?language=english&mdres=1,"Available: search for all company types.
At ajpes.si (the free company registry).More information available in Slovenian language compared to the English version. 
Options in the upper menu:

eRTR - data on bank accounts of companies (open, closed)
JOLP - annual reports of companies
eOBJAVE - insolvency cases w/supporting documentation",
Slovenia,Business Registry,f,f,t,Info Storage,http://www.oam.si/default_en.aspx?doc=ISSUERS,"Available: list of issuers, list of securities with company contact information",
Slovenia,Business Registry,f,f,t,Central Securities Clearing Corporation,http://www-en.kdd.si/,"Available: list of issuers, list of securities",
Slovenia,Commercial Registry,t,t,f,gvin.com,http://www.gvin.com/,"Search by names of directors/shareholders. Offers all the financial data from annual reports (incl. for years before 2008/2009, which are usually the earliest years you get annual reports for at Ajpes). Info on tax paymnet, ongoing lawsuits and credit ratings (the latter is a payable service of Ajpes).
If a company changed its name, Ajpes would return no results, while Gvin would detect it and put you through to the ""new"" company.
Offers all available documents in one place (except those you can find only at the court register - memorandum/articles of association, insolvency reports, statute). You can click on the address of a company and see what other companies are registered there.",
Slovenia,Regulatory Agency,f,f,t,Office for Money Laundering Prevention,http://www.uppd.gov.si/si/delovna_podrocja/objavljeni_posamezni_vsebinski_sklopi/objave_38_clen_zppdft/podatki_o_transakcijah_38_clen_zppdft/,"Available: periodical reporting on bank and other transactions with companies in offshore jurisdictions (downloadable spreadsheets).

The obliged entities referred must forward to the Office information on the following:
- cash transactions exceeding 30.000 EUR (except auditing companies, independent auditors and legal and natural persons performing accounting and tax advisory services)
- transactions or clients in connection with whom there exist reasons to suspect money laundering or terrorist financing. 

Lawyers, law firms and notaries are obliged to forward to the Office information on: transactions or clients in connection with whom there exist reasons to suspect money laundering or terrorist financing.",
Spain,Intellectual Property,f,f,t,"Ministry of Industry, Energy and Tourism  Spanish Patent and Trademark Office",http://www.oepm.es/es/index.html,,
Spain,Commercial Registry,t,t,f,E Informa,http://www.einforma.com/,"Available: search by name of company, person, registration number. Users need to create an account. Account holders can download the first 5 records for free. Usually records cost up to 10 EUR.",
Spain,Court Registry,t,f,t,Consejo General del Poder Judicial,http://www.poderjudicial.es/search/indexAN.jsp,A search of judges and cases is available by the number of judgment.,
Spain,Unknown,t,t,t,Registrars of Spain,http://www.registradores.org/en/index.jsp,Available: information about land and property in Spain,
Spain,Gazette,f,t,t,Boletín Oficial del Estado,http://www.boe.es/diario_borme/,Available: the latest issuer of the official gazette,
Spain,Business Registry,t,t,t,Registro Mercantil Central,http://www.rmc.es/Home.aspx?lang=en,Available: company search and detailed company information,
Spain,Gazette,f,t,t,Boletín Oficial del Estado,http://www.boe.es/buscar/index.php?lang=en,Available: notifications about company changes,
Spain,Business Registry,t,t,t,Comisión Nacional del Mercado de Valores,http://www.cnmv.es/Portal/Consultas/BusquedaPorEntidad.aspx,Available: detailed company information for fees between 2 and 9 Euros, All the information this public organization collects is then published in BORME - the official bulletin of the Registro Mercantil
Sweden,Intellectual Property,f,f,t,Swedish Patent and Registration Office (SPRO),http://www.prv.se/,,
Sweden,Court Registry,f,f,t,Lexbase,https://lexbase.se,Public information about companies and individuals in the Swedish courts,
Sweden,Regulatory Agency,f,f,t,Skatteverket,http://www.skatteverket.se/otherlanguages/inenglish.4.3a2a542410ab40a421c80006827.html,"Available: personal information on individuals (personal registration number, address, family members, income related to business)",
Sweden,Business Registry,f,f,t,Finansinspektionen,https://fiappl.fi.se/FinansCentralen/search/Search.aspx,"Available: annual and quarterly reports, stock-affecting information, flagging information",
Sweden,Commercial Registry,t,f,f,Bolagsverket,https://www.bolagsverket.se/ol/other/engelska-1.8229,Available: purchase of more detailed company profiles,
Switzerland,Commercial Registry,f,t,f,Money House,http://www.moneyhouse.ch/,"Money House offers search by company name or personal name. Search results include director names, sometimes shareholders, all the gazette notifications, registered company activity etc.
Results for person search include previous employments, connected companies and people.",
Switzerland,Intellectual Property,f,f,t,Swiss Federal Institute of Intellectual Property,https://www.ige.ch/,,
Switzerland,Land Registry,f,f,f,Search.ch,http://www.search.ch/,Available: search by address to identify how many companies are registered at the same location.,
Switzerland,Business Registry,f,t,f,Monetas.ch,http://www.monetas.ch/,"Available for free: search by company and person's name, basic current information and records, users can also visualize the connections. More data can be obtained with a free registration.",
Switzerland,Land Registry,f,f,f,Local.ch,http://www.local.ch/,Available: search by address to identify how many companies are registered at the same location.,
Switzerland,Court Registry,f,t,t,Bundesstrafgericht - the federal criminal court,http://bstger.ch/,"Available: the cases of the federal criminal court are accessible for everyone on: http://bstger.weblaw.ch/index.php. In order to access the complete court records, journalists must send a letter requesting accreditation with the institution. Once accreditation is obtained, the federal criminal court provides detailed files based on specific case requests.",
Switzerland,Court Registry,f,t,t,Bundesgericht - the supreme court of Switzerland,http://www.bger.ch/,"In order to access the court records journalists must send a letter requesting accreditation with the institution. Once accreditation is obtained, basic information about ongoing and closed court cases can be accessed online while the Supreme  Court provides additional detailed files based on specific case requests.",
Switzerland,Business Registry,f,f,t,Central Business Names Index,http://www.zefix.ch/,Available: search by company name or number and detailed company information,
Switzerland,Gazette,f,f,t,Swiss Official Gazette,https://www.shab.ch/shabforms/COMMON/application/applicationGrid.jsp?newLanguage=EN,Available: information about company changes,
Ukraine,Intellectual Property,f,f,t,State Intellectual Property Service of Ukraine (SIPS),http://sips.gov.ua/en/index.html,,
Ukraine,Regulatory Agency,f,f,t,Ukrainian Public Procurement,https://tender.me.gov.ua/EDZFrontOffice/menu/en/,jsessionid=e6587fd4a2ef4f1a77b7f2e99f2a,Available: a registry of all public procurements
Ukraine,Business Registry,f,f,t,State Enterprise Information Resource Center,http://irc.gov.ua/ua/Poshuk-v-YeDR.html,,
Ukraine,Court Registry,f,f,t,Unified State Register of Court Decisions,http://www.reyestr.court.gov.ua/,"Available: state court rulings available for search by: name, case number, court code",
Ukraine,Business Registry,f,f,t,Unified Register of Non-Government Organizations,http://rgf.informjust.ua/home/index,,
Ukraine,Regulatory Agency,f,f,t,The State Commission for Regulations of Financial Services Markets,http://dfp.gov.ua/413.html,"Available: a registry of all participants on financial market, auditors, banks, comissions, etc.",
Ukraine,Business Registry,f,f,t,Ukrainian Stock Exchange,http://www.ukrse.kiev.ua/eng/,Available: a list of members and basic issuers information,
United Kingdom,Commercial Registry,f,f,f,Companies In The UK,http://www.companiesintheuk.co.uk/,Available: basic information about companies + the number of companies registered  at a certain address.,
United Kingdom,Intellectual Property,f,f,t,Intellectual Property Office  Information Centre,http://www.ipo.gov.uk/,,
United Kingdom,Regulatory Agency,f,f,t,The Financial Services Register,http://www.fsa.gov.uk/register/psdFirmSearchForm.do,"Available: all companies authorised to carry out payment services, credit card issuers and merchant acquirers",
United Kingdom,Business Registry,t,f,t,Companies House,http://www.companieshouse.co.uk/,Available: active and dissolved companies search with detailed historical company information and original documents,
United Kingdom,Business Registry,f,f,t,London Stock Exchange,http://www.londonstockexchange.com/prices-and-markets/markets/prices.htm,"Available: list of issuers, detailed company information and reports",
United Kingdom,Commercial Registry,f,t,f,DueDil,https://www.duedil.com/,Available: active and dissolved companies search with detailed information on directors and financials. For most companies current shareholder is also available. Original documents are also available for purchase.,
United Kingdom,Business Registry,t,f,t,Jersey Financial Services Comission,https://www.jerseyfsc.org/registry/documentsearch/,Available: detailed company information,
Vatican,Intellectual Property,f,f,t,Judicial Office Central Offices,http://www.vaticanstate.va/content/vaticanstate/fr.html,,
,Gazette,f,f,t,EU Official Journal,http://new.eur-lex.europa.eu/oj/direct-access.html,,
,Court Registry,f,f,t,EU Court of Justice,http://curia.europa.eu/juris/recherche.jsf,,
,Procurement Registry,f,f,t,European Patent Organisation,http://www.epo.org/,,
,Procurement Registry,f,f,t,EU Office for Harmonization in the Internal Market (Trade Marks and Designs),https://oami.europa.eu/ohimportal/en/,,
,Business Registry,f,f,f,NYSE Euronext,https://europeanequities.nyx.com/en/members/member-list,Provides European equities market listings,
,Business Registry,t,t,t,European Business Registry,http://www.ebr.org/,,
